frame,TrWisard1,TrWisard2
0,100.0000,100.0000
5,85.9101,76.7807
10,95.2946,77.0235
15,78.3114,70.0931
20,92.1484,62.3911
25,95.7615,67.6049
30,91.5722,78.1741
35,78.2926,66.5162
40,66.8995,35.5686
45,55.1942,73.7337
50,46.9028,72.1623
55,51.8110,66.3199
60,78.2526,67.1965
65,97.1501,71.3553
70,73.9402,67.1912
75,81.0338,66.1559
80,74.8619,70.9159
85,10.2075,0.0000
90,14.3635,18.4865
95,16.9830,52.3289
100,97.2614,79.2428
105,73.4971,46.6465
110,74.9660,83.8313
115,75.3002,76.0644
120,80.5465,63.0732
125,44.4853,0.0000
130,64.9782,27.1894
135,64.3650,71.3300
140,66.6107,0.0000
145,73.7547,3.3774
150,27.3722,55.4442
155,48.8071,73.5179
160,58.2219,61.4931
165,90.4231,81.5757
170,38.3060,75.4623
175,57.9778,49.1238
180,60.4428,43.8253
185,85.9022,78.1136
190,88.0154,50.5319
195,51.5887,74.0542
200,62.4349,59.5110
205,68.0872,50.5438
210,30.4984,47.8636
215,63.5308,62.6191
220,85.3230,78.1089
225,75.6906,80.1038
230,76.3502,62.8372
235,56.3041,43.7540
240,43.8143,42.2889
245,74.9472,47.7014
250,68.8902,68.9850
255,94.0326,6.6388
260,58.2366,23.5169
265,10.4684,1.8630
270,94.0915,24.7727
275,65.2293,33.5416
280,49.0632,25.0977
285,62.7649,29.2045
290,78.2067,44.7989
295,61.9276,49.5432
300,62.0882,69.8906
305,65.2095,67.7281
310,21.8443,50.3937
315,48.2649,28.9214
320,31.1441,50.2422
325,47.8165,34.0144
330,83.2697,52.0664
335,57.4431,70.4009
340,0.0000,79.2299
345,0.0000,78.5777
350,56.1833,77.6859
355,54.8540,26.8287
360,72.6754,43.5361
