frame,TrWisard1,TrWisard2
0,0.0000,0.0000
5,4.8759,4.2086
10,5.0401,2.2848
15,2.8789,4.0035
20,0.8033,0.8033
25,0.8751,1.2008
30,5.4682,10.7033
35,3.0480,1.0837
40,1.8153,1.5948
45,4.3083,4.3083
50,1.6442,4.3215
55,2.8080,3.5895
60,2.2392,2.9465
65,5.2964,0.6468
70,7.9275,3.5966
75,12.4450,2.7046
80,9.1256,9.7903
85,5.7815,20.7715
90,12.1048,18.3576
95,5.3002,14.5037
100,10.0556,9.6171
105,3.0051,6.5034
110,0.1055,2.1820
115,0.5542,4.6069
120,2.5366,8.6576
125,7.6840,2.4183
130,2.0450,7.6015
135,14.7237,14.4546
140,12.3703,3.4687
145,4.9190,2.0665
150,12.0122,24.7192
155,19.3001,4.1541
160,8.4128,3.8840
165,12.5702,9.0338
170,5.7513,8.7923
175,5.5467,6.0246
180,11.7632,4.1180
185,4.6622,2.5919
190,3.1547,0.8075
195,0.3663,41.2968
200,2.4450,3.8507
205,2.5924,5.7216
210,2.0209,1.6499
215,9.0372,8.4398
220,6.3283,3.3501
225,6.4878,10.6032
230,1.1824,0.3002
235,1.4512,6.4385
240,1.6192,1.4635
245,2.0531,31.5526
250,5.8218,3.0935
255,5.2907,2.4161
260,6.4243,2.8309
265,2.3104,2.9836
270,3.2550,1.7382
275,5.9652,0.8989
280,5.6596,1.8993
285,3.1996,1.7081
290,3.0003,0.9869
295,1.3208,3.5009
300,9.8244,20.3433
305,16.0061,1.5120
310,6.8766,9.5272
315,6.1754,42.1054
320,29.8440,1.2272
325,2.4707,8.5372
330,2.1819,1.9796
335,1.5061,1.5648
340,9.6677,4.2449
345,11.4730,34.9791
350,10.6504,24.5201
